Index, Type  of  the  image , Image  Height , Image  Width , Dimension  of  Image , Image  size , Maximum  RGB , Minimum  RGB , R  channel , G  channel , B  channel , Baza  wygenerowana  przez  Konrad  Szwed  dnia  2019-03-26  22:56:54.196247  |  Zawiera  5000  elementow 
67, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,144,135,130
68, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,100,107,99
69, <class  'imageio.core.util.Array'> ,640,478,3,917760,255,0,156,148,171
70, <class  'imageio.core.util.Array'> ,426,640,3,817920,255,0,244,248,251
71, <class  'imageio.core.util.Array'> ,482,640,3,925440,255,0,194,200,196
72, <class  'imageio.core.util.Array'> ,361,640,3,693120,255,0,149,183,210
73, <class  'imageio.core.util.Array'> ,400,600,3,720000,255,0,6,2,1
74, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,157,183,234
75, <class  'imageio.core.util.Array'> ,480,640,3,921600,255,0,134,109,79
76, <class  'imageio.core.util.Array'> ,375,500,3,562500,255,0,76,122,182
77, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,20,24,27
78, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,139,151,75
79, <class  'imageio.core.util.Array'> ,427,640,3,819840,255,0,0,0,0
